IsPlayable,MidiNote,In_CenterBin,In_Dimension,In_Energy,In_Frequency,In_HighBin,In_LowBin,Out_Frequency,Out_Gain
False,A0,2,1,0,0,2,2,27.5,0.5
False,sA0,2,1,0,0,2,2,29.13523509488062,0.5
False,B0,2,1,0,0,2,2,30.867706328507758,0.5
False,C1,2,1,0,0,2,2,32.703195662574828,0.5
False,sC1,2,1,0,0,2,2,34.64782887210901,0.5
False,D1,3,1,0,0,3,3,36.708095989675947,0.5
False,sD1,3,1,0,0,3,3,38.890872965260115,0.5
False,E1,3,1,0,0,3,3,41.20344461410874,0.5
False,F1,3,1,0,0,3,3,43.653528929125486,0.5
False,sF1,3,1,0,0,3,3,46.2493028389543,0.5
False,G1,4,1,0,0,4,4,48.999429497718658,0.5
False,sG1,4,1,0,0,4,4,51.913087197493141,0.5
False,A1,4,1,0,0,4,4,55,0.5
False,sA1,4,1,0,0,4,4,58.270470189761241,0.5
False,B1,5,1,0,0,5,5,61.7354126570155,0.5
False,C2,5,1,0,0,5,5,65.406391325149656,0.5
False,sC2,5,1,0,0,5,5,69.295657744218019,0.5
False,D2,6,1,0,0,6,6,73.416191979351879,0.5
False,sD2,6,1,0,0,6,6,77.781745930520231,0.5
False,E2,7,1,0,0,7,7,82.4068892282175,0.5
False,F2,7,1,0,0,7,7,87.307057858250971,0.5
False,sF2,7,1,0,0,7,7,92.4986056779086,0.5
False,G2,8,1,0,0,8,8,97.998858995437331,0.5
False,sG2,8,1,0,0,8,8,103.82617439498628,0.5
False,A2,9,1,0,0,9,9,110,0.5
False,sA2,9,1,0,0,9,9,116.54094037952248,0.5
False,B2,10,1,0,0,10,10,123.470825314031,0.5
False,C3,11,1,0,0,11,11,130.81278265029931,0.5
False,sC3,11,1,0,0,11,11,138.59131548843604,0.5
False,D3,12,1,0,0,12,12,146.83238395870376,0.5
False,sD3,13,1,0,0,13,13,155.56349186104046,0.5
False,E3,14,1,0,0,14,14,164.813778456435,0.5
False,F3,14,1,0,0,14,14,174.61411571650194,0.5
False,sF3,15,1,0,0,15,15,184.9972113558172,0.5
False,G3,16,1,0,0,16,16,195.99771799087466,0.5
False,sG3,17,1,0,0,17,17,207.65234878997256,0.5
False,A3,18,1,0,0,18,18,220,0.5
False,sA3,19,2,0,0,20,19,233.08188075904491,0.5
False,B3,21,2,0,0,21,20,246.94165062806212,0.5
False,C4,22,1,40.565757108794635,0,22,22,261.62556530059862,0.5
False,sC4,23,2,0,0,24,23,277.18263097687208,0.5
False,D4,25,2,48.815383410337489,0,25,24,293.66476791740763,0.5
False,sD4,26,2,0,0,27,26,311.12698372208092,0.5
False,E4,28,2,44.684209179737934,0,28,27,329.62755691286986,0.5
False,F4,29,2,41.848808360706116,0,30,29,349.22823143300394,0.5
False,sF4,31,3,0,0,32,30,369.9944227116344,0.5
False,G4,33,3,55.32016171935858,0,34,32,391.99543598174921,0.5
False,sG4,35,3,0,0,36,34,415.30469757994518,0.5
False,A4,37,3,34.096345245092664,0,38,36,440,0.5
False,sA4,39,3,0,0,40,38,466.16376151808981,0.5
False,B4,42,3,4.9548468920298436,0,43,41,493.88330125612424,0.5
True,C5,44,3,138.37342357459525,0,45,43,523.25113060119725,2.5576577695188045
False,sC5,47,3,0,0,48,46,554.36526195374415,0.5
True,D5,50,3,175.64638771963652,0,51,49,587.32953583481526,1.8985619091880903
False,sD5,53,3,0,0,54,52,622.25396744416184,0.5
True,E5,56,3,236.62081513362213,0,57,55,659.25511382573973,0.77607403710928147
True,F5,59,4,214.50740639119277,0,61,58,698.45646286600788,1.1224878646282201
False,sF5,63,4,0,0,64,61,739.9888454232688,0.5
True,G5,66,4,415.79128108752212,0,68,65,783.99087196349842,0.61243932314113347
False,sG5,70,5,0,0,72,68,830.60939515989037,0.5
True,A5,75,5,161.93765883417825,0,77,73,880,1.4086104432246138
False,sA5,79,5,0,0,81,77,932.32752303617963,0.5
True,B5,84,5,185.0927403209235,0,86,82,987.76660251224848,1.7349271877693615
True,C6,89,5,172.94252119910721,0,91,87,1046.5022612023945,2.6748786604383707
False,sC6,94,6,0,0,97,92,1108.7305239074883,0.5
False,D6,100,7,32.025092289736072,0,103,97,1174.6590716696305,1.6500000171363354
False,sD6,106,7,0,0,109,103,1244.5079348883237,0.5
False,E6,112,7,44.371019023528724,0,115,109,1318.5102276514795,1.1500000096857548
False,F6,119,7,41.4050225249951,0,122,116,1396.9129257320158,1.1500000096857548
False,sF6,126,7,0,0,129,123,1479.9776908465376,0.5
False,G6,133,8,38.776887935384678,0,137,130,1567.9817439269968,3.9500000514090061
False,sG6,141,9,0,0,145,137,1661.2187903197807,0.5
False,A6,150,9,27.164749447954662,0,154,146,1760,1.4500000141561031
False,sA6,159,9,0,0,163,155,1864.6550460723593,0.5
True,B6,168,10,270.87227937741505,0,173,164,1975.533205024497,1.4000000134110451
False,C7,178,11,0,0,183,173,2093.004522404789,0.5
False,sC7,189,11,0,0,194,184,2217.4610478149766,0.5
False,D7,200,12,0,0,206,195,2349.318143339261,0.5
False,sD7,212,13,0,0,218,206,2489.0158697766474,0.5
False,E7,225,13,0,0,231,219,2637.0204553029589,0.5
False,F7,238,14,0,0,245,232,2793.8258514640315,0.5
False,sF7,252,15,0,0,259,245,2959.9553816930752,0.5
False,G7,267,16,0,0,275,260,3135.9634878539937,0.5
False,sG7,283,17,0,0,291,275,3322.4375806395615,0.5
False,A7,300,18,0,0,309,292,3520,0.5
False,sA7,318,19,0,0,327,309,3729.3100921447212,0.5
False,B7,337,20,0,0,347,328,3951.0664100489917,0.5
False,C8,357,21,0,0,367,347,4186.009044809578,0.5
False,sC8,378,22,0,0,389,368,4434.922095629955,0.5
False,D8,400,24,0,0,412,389,4698.6362866785194,0.5
False,sD8,424,26,0,0,437,412,4978.0317395532948,0.5
False,E8,450,27,0,0,463,437,5274.0409106059215,0.5
False,F8,476,28,0,0,490,463,5587.65170292806,0.5
False,sF8,505,30,0,0,520,491,5919.91076338615,0.5
False,G8,535,32,0,0,551,520,6271.9269757079919,0.5
False,sG8,567,33,0,0,583,551,6644.8751612791193,0.5
False,A8,600,35,0,0,618,584,7040,0.5
False,sA8,636,38,0,0,655,618,7458.6201842894425,0.5
False,B8,674,39,0,0,693,655,7902.1328200979833,0.5
